DANH SÁCH TOẠ ĐỘ VÀ ĐỘ DỊCH CHUYỂN PIXEL GIỮA 2 ẢNH
==========================================================================================
STT   X1 (Ảnh 1)     Y1 (Ảnh 1)     X2 (Ảnh 2)     Y2 (Ảnh 2)     Dịch chuyển (Pixel) 
------------------------------------------------------------------------------------------
1     81.83          24.25          145.97         13.56          65.02               
2     92.49          154.14         158.81         141.12         67.59               
3     93.11          153.88         158.81         141.12         66.93               
4     106.60         173.22         170.50         160.21         65.22               
5     135.12         434.64         199.89         412.79         68.36               
6     137.51         448.45         202.03         425.52         68.47               
7     137.51         448.45         202.03         425.52         68.47               
8     138.69         398.83         203.11         377.42         67.88               
9     139.39         417.88         204.19         395.82         68.46               
10    142.27         450.77         207.39         426.85         69.38               
11    146.33         429.47         210.43         407.59         67.73               
12    149.13         447.01         214.01         423.29         69.09               
13    151.24         419.90         214.10         400.22         65.87               
14    163.19         438.91         227.07         416.12         67.82               
15    172.04         428.79         235.03         407.91         66.37               
16    175.65         456.58         240.92         432.37         69.61               
17    178.44         460.99         241.26         438.23         66.81               
18    193.57         426.97         258.07         404.97         68.15               
19    193.75         419.93         254.16         399.99         63.62               
20    198.03         453.21         259.21         431.96         64.77               
21    202.52         431.91         263.88         410.94         64.85               
22    205.18         453.65         267.43         431.05         66.23               
23    210.33         434.77         271.22         414.03         64.32               
24    217.83         441.61         279.40         420.68         65.04               
25    231.78         420.47         295.51         399.70         67.03               
26    244.39         375.87         306.12         354.95         65.17               
27    270.05         371.19         330.54         348.42         64.64               
28    298.01         414.33         357.00         397.18         61.44               
29    299.45         437.89         358.91         420.90         61.84               
30    299.49         368.97         358.07         352.15         60.95               
31    299.68         448.07         359.95         428.69         63.31               
32    302.93         446.09         361.91         427.37         61.88               
33    305.46         424.40         364.57         407.21         61.56               
34    310.10         438.44         368.95         420.89         61.41               
35    314.37         429.24         373.77         412.04         61.84               
36    314.37         429.24         373.77         412.04         61.84               
37    319.03         419.97         379.45         402.92         62.79               
38    319.31         445.96         377.49         427.07         61.18               
39    324.19         449.59         384.16         431.56         62.62               
40    324.19         449.59         384.16         431.56         62.62               
41    325.32         412.36         383.93         395.69         60.93               
42    340.26         420.27         400.31         403.37         62.38               
43    340.64         405.07         399.33         389.24         60.79               
44    340.64         405.07         399.33         389.24         60.79               
45    348.57         455.92         409.18         439.26         62.87               
46    364.44         446.16         425.25         429.82         62.96               
47    366.00         387.86         426.02         372.40         61.97               
48    369.60         379.77         430.09         364.66         62.34               
49    369.60         379.77         430.09         364.66         62.34               
50    370.87         394.46         430.42         379.25         61.46               
51    372.49         209.56         432.84         191.40         63.03               
52    375.36         173.78         435.63         154.17         63.37               
53    375.91         201.99         436.05         182.93         63.08               
54    375.91         201.99         436.05         182.93         63.08               
55    376.70         386.87         436.75         371.93         61.88               
56    377.86         249.27         437.85         231.81         62.48               
57    377.86         249.27         437.85         231.81         62.48               
58    378.32         139.41         438.91         119.12         63.89               
59    379.63         149.11         438.99         128.27         62.91               
60    379.91         149.28         438.99         128.27         62.70               
61    381.27         458.23         442.40         441.80         63.31               
62    384.07         392.22         444.60         377.18         62.37               
63    384.58         216.06         444.97         197.17         63.28               
64    384.66         206.70         445.15         188.19         63.26               
65    384.67         165.49         444.86         145.91         63.30               
66    384.99         237.58         445.39         219.33         63.10               
67    395.35         453.62         458.14         438.26         64.64               
68    410.69         443.76         472.74         428.41         63.93               
69    410.69         443.76         472.74         428.41         63.93               
70    418.93         437.24         480.77         421.58         63.80               
71    418.93         437.24         480.77         421.58         63.80               
72    419.55         408.98         481.97         394.70         64.03               
73    422.71         446.50         485.96         431.74         64.94               
74    422.71         446.50         485.96         431.74         64.94               
75    425.11         407.23         487.57         392.98         64.07               
76    431.80         412.34         494.84         398.34         64.58               
77    440.57         409.44         503.73         395.68         64.64               
78    440.86         461.94         505.28         446.42         66.26               
79    441.12         414.56         504.95         400.51         65.36               
80    444.73         435.15         509.13         420.95         65.94               
81    482.58         430.29         549.66         416.58         68.46               
82    492.13         464.08         560.38         449.75         69.74               
83    497.30         443.35         564.60         430.00         68.61               
84    499.91         430.12         567.89         416.85         69.26               
85    504.33         441.36         572.28         428.44         69.16               
86    504.33         441.36         572.28         428.44         69.16               
87    514.56         434.77         582.83         421.52         69.55               
88    519.67         444.10         589.02         431.53         70.49               
89    520.99         461.96         589.72         449.54         69.84               
90    520.99         461.96         589.72         449.54         69.84               
91    522.32         451.86         591.46         439.91         70.17               
92    524.88         458.94         594.02         446.97         70.17               
93    524.88         458.94         594.02         446.97         70.17               
94    537.65         437.94         607.48         424.79         71.06               
95    547.30         463.79         617.30         452.02         70.98               
96    547.61         471.55         618.12         460.31         71.41               
97    551.03         457.81         621.78         446.09         71.72               
98    555.99         465.20         628.23         454.17         73.07               
99    557.73         458.32         629.61         446.84         72.80               
==========================================================================================
📊 TỔNG KẾT THÔNG SỐ THỰC TẾ:
- Tổng số điểm khớp chính xác thu được: 99 điểm.
- Độ dịch chuyển trung bình của vật thể: 65.40 pixels.
