DANH SÁCH TOẠ ĐỘ VÀ ĐỘ DỊCH CHUYỂN PIXEL GIỮA 2 ẢNH
==========================================================================================
STT   X1 (Ảnh 1)     Y1 (Ảnh 1)     X2 (Ảnh 2)     Y2 (Ảnh 2)     Dịch chuyển (Pixel) 
------------------------------------------------------------------------------------------
1     169.32         463.36         187.64         359.08         105.87              
2     176.06         447.02         193.42         344.32         104.15              
3     176.12         464.01         194.30         359.86         105.73              
4     176.12         464.01         194.30         359.86         105.73              
5     187.14         474.61         205.51         370.91         105.31              
6     187.37         448.86         204.57         346.45         103.84              
7     195.83         340.03         207.95         250.27         90.58               
8     199.47         351.26         212.02         261.29         90.84               
9     203.11         377.42         216.12         285.89         92.45               
10    204.19         395.82         218.31         301.60         95.27               
11    207.24         413.09         221.36         319.06         95.09               
12    210.43         407.59         224.01         313.86         94.71               
13    212.96         441.09         227.68         340.61         101.56              
14    212.96         441.09         227.68         340.61         101.56              
15    214.10         400.22         228.28         305.90         95.38               
16    223.44         405.34         236.85         311.77         94.52               
17    240.47         417.11         253.21         319.74         98.20               
18    240.92         432.37         255.04         332.79         100.58              
19    241.26         438.23         254.68         338.91         100.22              
20    245.62         423.97         260.74         325.15         99.97               
21    263.88         410.94         275.55         314.09         97.55               
22    357.60         383.69         364.52         289.88         94.06               
23    358.07         352.15         365.46         260.82         91.62               
24    361.73         388.00         368.55         294.14         94.11               
25    364.03         400.28         370.83         306.58         93.95               
26    368.95         420.89         374.39         323.53         97.51               
27    373.77         412.04         379.98         315.78         96.47               
28    377.49         427.07         384.18         329.01         98.29               
29    379.45         402.92         385.33         308.51         94.59               
30    383.93         395.69         390.04         300.67         95.21               
31    384.16         431.56         389.86         332.28         99.44               
32    384.16         431.56         389.86         332.28         99.44               
33    388.17         398.18         394.89         304.00         94.43               
34    389.51         435.19         395.02         335.22         100.13              
35    399.33         389.24         404.85         295.50         93.89               
36    406.65         384.52         412.07         290.55         94.13               
37    409.18         439.26         414.04         337.14         102.24              
38    412.98         383.83         418.17         289.91         94.07               
39    418.80         459.04         422.53         354.60         104.51              
40    420.21         435.30         424.50         334.82         100.56              
41    423.21         366.08         428.52         273.77         92.46               
42    425.25         429.82         428.82         330.13         99.76               
43    426.02         372.40         429.92         279.36         93.12               
44    430.09         364.66         435.92         271.99         92.86               
45    430.09         364.66         435.92         271.99         92.86               
46    430.42         379.25         435.58         285.44         93.96               
47    432.84         191.40         442.92         95.52          96.41               
48    433.45         185.65         443.37         89.53          96.64               
49    435.21         145.46         446.75         46.08          100.05              
50    435.63         154.17         446.80         56.52          98.29               
51    435.71         172.24         446.66         75.03          97.83               
52    435.94         177.17         446.74         80.29          97.48               
53    436.05         182.93         446.61         86.95          96.56               
54    436.05         182.93         446.61         86.95          96.56               
55    436.75         371.93         441.80         278.70         93.36               
56    437.04         192.93         447.35         97.28          96.21               
57    437.17         214.90         447.01         120.91         94.50               
58    437.17         214.90         447.01         120.91         94.50               
59    437.99         156.66         449.63         58.57          98.78               
60    438.91         119.12         450.90         18.99          100.85              
61    438.99         128.27         451.23         28.06          100.95              
62    440.50         354.35         446.26         261.88         92.65               
63    440.92         241.36         450.02         148.92         92.89               
64    442.40         441.80         444.27         339.67         102.15              
65    443.59         136.89         455.34         37.36          100.22              
66    444.60         377.18         448.83         283.66         93.62               
67    444.86         145.91         456.26         47.53          99.04               
68    444.97         197.17         455.34         102.21         95.53               
69    445.15         188.19         455.71         92.55          96.22               
70    445.39         219.33         455.19         125.58         94.27               
71    445.46         178.64         456.39         82.12          97.14               
72    445.54         236.48         454.67         143.79         93.14               
73    445.79         220.20         455.51         126.57         94.13               
74    445.85         215.16         455.67         121.10         94.57               
75    445.98         188.72         456.30         93.02          96.26               
76    446.16         172.54         457.24         75.78          97.39               
77    446.18         150.62         457.99         51.72          99.60               
78    446.39         139.71         458.53         39.95          100.50              
79    446.39         139.71         458.53         39.95          100.50              
80    446.47         145.22         458.41         45.92          100.01              
81    453.99         368.91         458.43         275.75         93.27               
82    456.86         376.49         461.33         282.71         93.88               
83    458.14         438.26         459.79         336.58         101.70              
84    458.14         438.26         459.79         336.58         101.70              
85    459.65         469.93         461.07         362.75         107.19              
86    464.31         375.38         469.08         281.51         94.00               
87    470.42         393.93         474.60         298.68         95.35               
88    473.91         464.54         474.35         357.83         106.71              
89    478.15         448.84         479.03         343.86         104.98              
90    480.77         421.58         482.36         322.02         99.57               
91    480.77         421.58         482.36         322.02         99.57               
92    481.97         394.70         485.02         298.75         96.00               
93    485.96         431.74         487.03         330.13         101.61              
94    485.96         431.74         487.03         330.13         101.61              
95    487.57         392.98         490.92         297.00         96.04               
96    489.00         451.56         490.03         346.73         104.83              
97    491.48         439.78         492.88         336.91         102.89              
98    495.09         408.71         497.21         310.63         98.10               
99    495.09         408.71         497.21         310.63         98.10               
100   497.07         459.61         498.65         351.92         107.70              
101   498.45         443.01         498.28         338.37         104.63              
102   503.73         395.68         505.98         299.15         96.56               
103   505.28         446.42         505.70         340.87         105.55              
104   509.13         420.95         510.16         320.50         100.45              
105   514.01         448.20         514.97         341.81         106.40              
106   514.16         437.37         514.57         331.38         105.99              
107   549.66         416.58         550.00         315.07         101.51              
108   560.27         438.96         560.81         333.26         105.70              
109   560.38         449.75         559.39         341.67         108.08              
110   567.89         416.85         568.00         315.80         101.05              
111   568.16         366.85         570.90         271.42         95.46               
112   568.25         428.50         567.75         326.10         102.39              
113   572.28         428.44         572.11         326.74         101.70              
114   582.83         421.52         582.68         320.15         101.37              
115   584.02         427.12         583.14         324.93         102.19              
116   584.57         381.70         586.30         286.07         95.65               
117   589.02         431.53         587.83         329.42         102.12              
118   591.46         439.91         589.86         337.41         102.51              
119   594.75         435.99         593.46         333.78         102.22              
120   597.72         444.53         595.77         341.41         103.13              
121   597.78         434.29         596.69         332.46         101.83              
122   601.04         420.36         600.60         319.27         101.10              
123   604.51         425.58         603.55         323.42         102.17              
124   607.48         424.79         606.65         323.28         101.51              
125   615.55         375.53         617.62         278.80         96.75               
126   617.30         452.02         615.20         348.73         103.32              
127   617.66         371.56         621.34         275.19         96.44               
128   624.40         431.67         623.07         329.31         102.37              
129   626.46         461.21         623.73         357.15         104.10              
130   626.66         394.70         627.83         298.20         96.50               
131   629.61         446.84         627.42         343.44         103.42              
132   629.61         446.84         627.42         343.44         103.42              
133   631.06         388.43         632.09         291.35         97.09               
134   632.72         432.12         631.21         329.57         102.55              
135   632.95         440.50         632.15         338.02         102.48              
==========================================================================================
📊 TỔNG KẾT THÔNG SỐ THỰC TẾ:
- Tổng số điểm khớp chính xác thu được: 135 điểm.
- Độ dịch chuyển trung bình của vật thể: 98.86 pixels.
