DANH SÁCH TOẠ ĐỘ VÀ ĐỘ DỊCH CHUYỂN PIXEL GIỮA 2 ẢNH
==========================================================================================
STT   X1 (Ảnh 1)     Y1 (Ảnh 1)     X2 (Ảnh 2)     Y2 (Ảnh 2)     Dịch chuyển (Pixel) 
------------------------------------------------------------------------------------------
1     155.47         108.85         214.08         105.01         58.73               
2     156.18         61.69          215.13         58.87          59.02               
3     157.47         83.46          215.80         79.90          58.44               
4     157.47         83.46          215.80         79.90          58.44               
5     158.81         141.12         215.33         136.85         56.69               
6     161.65         89.28          219.98         85.90          58.42               
7     163.99         95.62          221.60         92.02          57.73               
8     166.40         135.60         222.87         131.17         56.64               
9     168.89         125.66         225.57         121.35         56.85               
10    169.50         151.25         225.37         147.11         56.03               
11    169.57         144.14         225.55         139.71         56.16               
12    171.05         164.47         226.63         159.37         55.82               
13    176.06         447.02         225.01         435.50         50.29               
14    176.12         464.01         224.39         451.59         49.84               
15    176.12         464.01         224.39         451.59         49.84               
16    178.37         466.73         225.86         454.52         49.03               
17    185.44         457.92         233.36         446.04         49.37               
18    187.37         448.86         235.44         437.24         49.45               
19    195.83         340.03         245.42         332.18         50.20               
20    199.47         351.26         248.24         343.26         49.42               
21    199.89         412.79         247.43         402.52         48.64               
22    202.02         470.42         248.00         459.98         47.15               
23    202.03         425.52         249.31         415.58         48.31               
24    203.11         377.42         251.16         369.10         48.76               
25    204.19         395.82         251.92         386.86         48.56               
26    206.27         451.24         253.94         440.69         48.82               
27    207.98         431.88         255.00         422.21         48.00               
28    209.55         457.83         255.59         447.98         47.09               
29    209.61         464.87         256.09         454.55         47.61               
30    210.43         407.59         257.80         398.87         48.16               
31    212.96         441.09         259.66         431.67         47.64               
32    214.01         423.29         261.24         414.04         48.12               
33    220.20         458.14         265.72         449.02         46.42               
34    223.44         405.34         270.47         397.23         47.72               
35    223.44         405.34         270.47         397.23         47.72               
36    225.22         54.50          281.85         51.06          56.73               
37    227.07         416.12         273.11         408.12         46.72               
