DANH SÁCH TOẠ ĐỘ VÀ ĐỘ DỊCH CHUYỂN PIXEL GIỮA 2 ẢNH
==========================================================================================
STT   X1 (Ảnh 1)     Y1 (Ảnh 1)     X2 (Ảnh 2)     Y2 (Ảnh 2)     Dịch chuyển (Pixel) 
------------------------------------------------------------------------------------------
1     220.62         460.49         240.58         364.11         98.42               
2     224.39         451.59         243.74         355.15         98.36               
3     229.06         464.28         247.97         368.76         97.38               
4     229.90         435.37         248.58         340.18         97.01               
5     229.90         435.37         248.58         340.18         97.01               
6     235.44         437.24         253.95         342.25         96.78               
7     236.94         467.03         255.65         370.02         98.80               
8     240.54         429.16         259.63         334.18         96.88               
9     245.42         332.18         258.89         247.99         85.26               
10    247.43         402.52         263.38         314.95         89.01               
11    248.00         459.98         265.96         363.66         97.98               
12    251.16         369.10         265.92         283.99         86.39               
13    251.92         386.86         267.59         298.59         89.65               
14    253.94         440.69         270.83         345.84         96.34               
15    259.66         431.67         276.54         337.74         95.44               
16    286.10         425.15         302.51         331.57         95.01               
17    291.44         416.73         307.66         324.26         93.88               
18    304.59         425.33         319.58         332.11         94.41               
19    305.67         398.24         317.75         308.14         90.91               
20    309.76         404.88         323.02         313.76         92.08               
21    316.20         408.63         329.52         317.37         92.22               
22    325.00         415.17         334.26         324.64         91.00               
23    345.40         422.52         358.23         329.32         94.08               
24    345.50         416.33         357.70         324.47         92.66               
25    348.95         456.55         360.63         358.20         99.04               
26    410.68         399.93         420.56         309.65         90.83               
27    419.93         412.40         428.96         319.69         93.15               
28    424.04         419.41         433.15         325.61         94.24               
29    425.27         428.53         433.66         332.99         95.91               
30    426.20         403.91         435.11         312.35         91.99               
31    429.60         396.91         439.75         304.37         93.09               
32    435.77         399.49         445.01         308.01         91.94               
33    438.08         391.21         447.10         300.30         91.35               
34    443.02         407.06         451.99         314.12         93.37               
35    448.48         387.75         457.60         296.51         91.69               
36    456.23         441.62         465.31         342.76         99.28               
37    472.21         369.83         481.48         278.79         91.51               
38    472.86         433.15         480.85         336.15         97.32               
39    474.85         375.09         483.91         283.93         91.61               
40    479.45         382.40         488.15         290.62         92.19               
41    480.20         367.41         489.53         276.57         91.32               
42    484.32         437.97         491.49         340.18         98.06               
43    484.56         304.55         495.00         214.69         90.47               
44    486.53         375.20         495.17         283.85         91.76               
45    487.85         232.13         500.61         140.24         92.77               
46    488.15         163.77         502.40         68.21          96.62               
47    488.24         227.03         501.01         135.09         92.83               
48    488.36         205.57         501.59         112.10         94.39               
49    488.42         200.92         501.92         107.53         94.36               
50    488.72         195.07         502.40         101.17         94.89               
