DANH SÁCH TOẠ ĐỘ VÀ ĐỘ DỊCH CHUYỂN PIXEL GIỮA 2 ẢNH
==========================================================================================
STT   X1 (Ảnh 1)     Y1 (Ảnh 1)     X2 (Ảnh 2)     Y2 (Ảnh 2)     Dịch chuyển (Pixel) 
------------------------------------------------------------------------------------------
1     74.97          470.46         132.42         451.56         60.48               
2     83.66          20.48          155.35         21.61          71.70               
3     102.85         31.81          171.42         32.27          68.57               
4     105.53         39.16          173.96         39.42          68.43               
5     120.20         132.49         184.48         130.23         64.32               
6     124.44         183.17         186.76         178.37         62.51               
7     133.78         374.41         188.76         362.53         56.25               
8     133.85         455.82         186.35         441.68         54.37               
9     137.76         354.88         193.42         344.32         56.65               
10    139.41         370.73         194.30         359.86         55.95               
11    139.41         370.73         194.30         359.86         55.95               
12    140.32         233.64         199.04         227.90         59.00               
13    141.11         446.91         193.64         433.11         54.32               
14    142.05         449.73         195.92         434.36         56.02               
15    143.47         354.79         199.03         344.41         56.52               
16    144.23         375.67         198.64         364.83         55.48               
17    146.23         383.74         200.12         372.63         55.02               
18    146.23         383.74         200.12         372.63         55.02               
19    146.68         435.22         200.11         421.56         55.15               
20    147.03         459.70         198.59         446.05         53.33               
21    149.69         356.44         204.57         346.45         55.78               
22    150.03         431.35         202.42         419.01         53.82               
23    150.52         256.02         207.95         250.27         57.73               
24    151.50         381.95         205.51         370.91         55.13               
25    153.23         385.19         207.24         374.17         55.12               
26    153.72         455.87         205.30         442.60         53.25               
27    160.88         292.84         216.12         285.89         55.67               
28    161.68         362.36         215.61         352.98         54.74               
29    163.60         440.14         215.14         428.33         52.88               
30    168.21         334.94         221.95         327.21         54.29               
31    168.21         334.94         221.95         327.21         54.29               
32    168.62         357.96         222.61         348.85         54.76               
33    170.30         321.27         224.01         313.86         54.22               
34    173.70         352.13         226.48         343.49         53.48               
35    174.27         331.62         227.56         324.39         53.78               
36    174.88         312.62         228.28         305.90         53.82               
37    179.24         328.36         232.37         321.43         53.58               
38    180.08         421.40         230.82         411.25         51.74               
39    185.62         412.59         236.51         402.99         51.78               
40    187.28         356.30         240.23         348.31         53.55               
41    194.32         396.01         245.01         387.40         51.41               
42    194.94         323.91         247.91         317.60         53.34               
43    199.81         355.71         251.67         348.67         52.33               
44    200.66         325.77         253.21         319.74         52.90               
45    203.96         338.67         255.04         332.79         51.42               
46    203.96         338.67         255.04         332.79         51.42               
47    204.36         398.46         254.29         390.64         50.53               
48    208.32         312.07         260.62         306.90         52.56               
49    210.75         322.32         263.17         316.92         52.70               
50    215.39         340.42         266.08         334.57         51.03               
51    217.78         375.97         267.78         369.54         50.41               
52    219.22         155.48         277.05         154.19         57.85               
53    221.16         305.76         273.58         301.16         52.63               
54    224.07         318.73         275.55         314.09         51.69               
55    225.26         374.20         275.03         368.60         50.08               
56    226.33         387.81         275.88         381.04         50.01               
57    227.70         367.86         277.59         362.26         50.20               
58    236.57         385.31         287.70         380.01         51.40               
59    236.93         328.42         287.33         324.48         50.55               
60    239.01         331.74         291.10         326.81         52.32               
61    239.01         331.74         291.10         326.81         52.32               
62    240.35         336.92         290.86         332.58         50.69               
63    242.09         366.17         294.26         363.23         52.25               
64    247.55         347.18         297.38         343.16         50.00               
65    252.79         329.99         302.87         326.57         50.19               
66    254.12         314.11         305.21         310.93         51.19               
67    255.27         321.94         305.44         318.86         50.26               
